node_id,text
151,True is it that we have seen better days.
152,"To be, or not to be: that is the question."
153,"The world is grown so bad, that wrens make prey where eagles dare not perch."
154,I like this place and willingly could waste my time in it.
155,Not stepping o'er the bounds of modesty.
156,Tempt not a desperate man.
157,"It is the east, and Juliet is the sun."
158,Tempt not a desperate man.
159,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
160,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
161,This above all: to thine own self be true.
162,"The world is grown so bad, that wrens make prey where eagles dare not perch."
163,Can one desire too much of a good thing?.
164,I like this place and willingly could waste my time in it.
165,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
166,Brevity is the soul of wit.
167,A horse! a horse! my kingdom for a horse!.
168,"An honest tale speeds best, being plainly told."
169,True is it that we have seen better days.
170,For ever and a day.
171,Not stepping o'er the bounds of modesty.
172,In my mind's eye.
173,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
174,Off with his head!
175,Off with his head!
176,"There is nothing either good or bad, but thinking makes it so."
177,Off with his head!
178,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
179,The king's name is a tower of strength.
180,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
181,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
182,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
183,"To be, or not to be: that is the question."
184,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
185,For you and I are past our dancing days.
186,"The world is grown so bad, that wrens make prey where eagles dare not perch."
187,For you and I are past our dancing days.
188,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
189,For ever and a day.
190,The play 's the thing wherein I'll catch the conscience of the king.
191,The play 's the thing wherein I'll catch the conscience of the king.
192,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
193,"When sorrows come, they come not single spies, but in battalions."
194,Rich gifts wax poor when givers prove unkind.
195,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
196,This above all: to thine own self be true.
197,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
198,The king's name is a tower of strength.
199,"The fool doth think he is wise, but the wise man knows himself to be a fool."
200,Now is the winter of our discontent.
201,This above all: to thine own self be true.
202,"There is nothing either good or bad, but thinking makes it so."
