Left,Right
719,114
356,67
1639,146
862,127
1391,36
1273,81
1478,55
1032,123
301,148
933,29
154,98
1215,111
1363,33
1023,115
810,70
1512,141
852,12
1483,114
455,25
1633,80
1527,94
619,43
1558,88
1155,113
329,67
1426,57
1135,70
1335,5
1458,89
1181,33
334,7
814,65
954,123
1034,29
1059,86
203,73
1518,75
665,122
599,1
851,130
1582,109
889,70
489,85
1042,85
307,57
1615,140
1378,20
761,136
475,72
776,123
1206,24
1395,2
1248,113
841,80
1436,63
1410,125
794,88
1183,112
355,60
1256,87
591,143
305,15
345,50
1330,4
782,44
221,116
1483,56
463,11
1077,3
716,8
1594,65
587,85
1431,31
157,55
743,56
267,98
947,26
1584,139
1557,136
1507,98
1525,82
1539,88
1156,132
1425,2
1073,14
772,30
229,13
1237,126
748,3
658,48
758,137
1601,125
1454,136
1260,37
954,110
1014,73
1191,140
1625,146
763,146
928,149
1582,56
1345,145
962,6
269,76
1605,43
940,120
610,11
237,67
1175,88
971,114
262,108
286,30
1493,127
904,143
536,2
577,119
1123,136
1504,34
461,18
1228,69
647,125
1570,83
332,106
908,36
211,50
157,13
983,10
1568,51
285,17
786,137
188,108
1298,108
905,3
244,31
611,6
1093,140
745,119
1129,86
1354,6
1632,87
167,139
1334,61
354,112
249,77
761,112
793,45
654,58
488,145
320,136
364,25
1179,71
1347,58
1114,134
694,3
489,144
867,15
863,20
1354,135
545,133
1126,25
978,38
558,62
1511,14
216,121
238,76
913,147
1358,12
507,51
1334,54
664,41
906,130
1108,54
632,53
694,8
1260,147
750,37
1297,116
306,44
931,55
913,113
1087,24
1294,92
326,69
1253,114
1383,14
1101,120
923,134
1149,111
1252,9
1369,9
694,77
1275,130
1533,146
802,83
919,104
364,126
1498,104
504,63
452,59
795,1
1297,4
1427,49
787,32
791,9
344,114
270,39
1015,9
364,135
765,45
1513,63
1196,31
992,118
643,4
607,146
1113,97
1281,110
1620,64
935,7
1269,35
890,12
650,88
580,27
359,19
949,140
763,32
504,35
1530,73
1016,67
1465,130
1256,14
451,139
657,44
1619,128
1103,45
164,105
432,5
488,53
234,85
386,110
774,143
828,94
1622,6
752,83
824,39
385,75
357,140
231,93
252,96
981,109
1361,87
688,40
604,9
1381,94
1225,19
1150,120
1268,54
565,147
1213,46
303,11
1005,118
1043,83
254,147
549,38
673,38
999,129
305,18
1344,17
696,56
1472,66
1567,72
580,116
1571,127
1635,78
1394,146
261,78
1108,43
222,49
1374,2
784,35
1315,84
1487,11
1128,123
750,143
529,7
1206,8
1557,16
956,127
851,129
295,94
687,19
1019,132
382,56
968,104
1218,117
1069,84
503,52
1123,8
402,143
1168,110
364,131
610,81
997,16
1231,57
447,19
1565,3
1359,16
1306,109
1616,109
1402,27
657,121
799,31
997,32
628,60
751,45
153,56
491,112
978,83
1373,128
351,63
385,115
171,6
574,117
1383,16
1447,149
943,36
1290,95
1013,76
544,58
1466,114
361,140
747,117
1295,5
683,16
290,71
715,29
723,53
708,113
1551,96
987,145
328,137
1543,149
745,116
643,87
1349,109
208,11
472,88
1011,141
1323,18
532,138
890,110
421,50
1277,116
876,78
599,12
1564,86
1348,41
1047,34
1588,106
353,97
230,95
1301,84
892,28
1296,138
398,128
312,112
1510,122
568,137
563,52
607,25
1378,24
1639,126
446,143
385,74
1288,126
874,16
1491,35
1580,83
1598,19
666,147
1627,147
167,36
1614,132
1375,40
1294,109
1422,85
1446,13
1161,64
1521,26
505,24
479,135
791,1
182,136
379,7
1015,91
699,99
439,16
497,124
192,102
1318,88
845,28
190,89
745,10
305,88
163,64
745,143
1134,92
204,138
1146,38
1189,106
657,18
654,18
266,31
1583,75
1587,72
424,134
965,127
833,96
1153,28
894,143
780,109
1442,36
599,44
191,121
1539,23
934,69
1168,18
911,43
256,36
1072,18
278,37
528,112
1591,8
462,107
974,83
709,93
939,20
243,24
534,138
178,38
1620,56
753,119
943,79
1421,21
1318,70
615,47
1516,134
1251,11
985,113
1416,50
1303,20
1257,28
1615,113
448,110
756,138
945,140
887,5
418,119
1493,16
742,117
465,68
356,103
1076,23
1036,41
880,120
1403,55
1407,79
540,71
983,39
1380,50
810,5
427,7
1145,126
1466,109
1634,70
1519,148
1524,131
419,18
1537,46
1571,98
1550,20
728,94
406,8
1086,33
1536,71
1632,6
857,43
1225,9
403,49
565,91
685,81
215,140
647,139
1032,103
445,54
1615,75
992,14
377,69
526,48
1239,101
284,48
1021,130
1442,36
241,57
500,96
1345,27
1621,78
339,146
1386,49
1155,136
1278,91
601,66
1006,68
377,39
1113,134
414,10
590,9
377,84
1493,88
875,4
575,65
207,52
250,143
1105,77
234,53
1602,109
1570,106
1618,62
1041,30
1485,144
1186,62
1426,138
792,45
599,90
1140,33
706,41
1397,42
242,12
1615,75
362,90
488,86
633,46
497,40
840,136
1454,118
618,21
561,19
1617,113
319,13
916,115
641,127
1411,86
341,131
1412,1
1200,34
1489,8
806,20
850,108
1134,13
404,93
167,39
756,62
437,48
681,102
1640,70
952,129
229,122
841,56
1106,111
600,67
1251,63
845,97
1479,49
1483,31
874,112
490,131
570,74
1501,24
231,3
1249,26
1144,7
608,55
973,77
1485,129
660,85
1552,1
1371,44
345,41
420,134
790,147
302,146
450,3
1434,145
961,127
286,46
603,58
356,29
524,107
783,62
1551,67
226,49
904,4
1059,40
988,142
1335,92
406,94
1504,37
382,41
1031,93
1628,82
834,15
1636,52
1445,54
997,105
346,130
1593,44
966,109
185,22
883,47
247,53
1138,27
502,33
154,37
284,142
1418,67
1614,131
409,53
766,107
313,136
1045,147
515,90
794,149
1553,139
1635,137
289,106
226,74
1623,133
1336,18
218,10
1642,45
1447,48
892,121
1072,3
588,43
1090,59
1509,36
399,24
377,23
425,4
1192,43
1123,112
766,98
1469,36
1211,135
486,41
1279,36
303,129
1100,9
1072,14
