Left,Right
62,58
137,92
109,43
67,97
31,80
39,100
139,52
23,148
86,125
113,125
73,136
23,51
16,138
48,32
103,70
102,52
75,77
87,99
63,132
87,102
148,109
133,57
80,89
110,7
106,148
110,91
81,114
86,53
104,62
96,54
130,38
42,12
11,56
32,98
141,67
24,26
47,52
94,50
79,46
83,14
149,116
42,68
69,21
145,27
143,111
54,67
80,31
67,117
40,25
69,68
127,15
8,131
36,69
81,51
16,79
134,102
113,135
126,21
49,86
54,78
137,66
30,64
44,139
49,25
118,40
70,65
8,44
81,102
31,131
96,118
82,100
35,53
74,30
7,46
89,101
138,36
22,62
81,127
124,24
101,22
56,138
49,60
138,4
74,3
120,20
136,132
149,13
83,108
93,72
62,54
106,37
46,45
9,124
66,99
32,31
123,106
108,40
32,46
90,99
78,114
9,146
117,109
49,116
5,34
137,99
26,25
95,59
15,56
10,78
37,137
96,138
120,116
91,16
8,48
60,132
20,106
10,133
72,50
10,23
29,13
58,23
86,132
12,84
57,109
140,92
133,49
103,30
74,76
69,15
89,57
145,57
126,20
29,92
109,107
65,118
85,46
128,132
17,31
88,94
11,144
45,33
147,101
121,32
134,4
70,42
4,55
61,36
39,89
81,9
144,38
75,61
63,96
142,50
1,84
7,77
62,22
9,7
21,51
5,49
121,109
112,42
136,4
18,126
55,121
29,63
86,116
27,57
143,137
43,105
37,76
132,85
105,109
36,98
87,19
40,1
73,84
13,92
143,62
74,132
107,105
18,141
115,10
82,49
127,113
45,23
86,131
60,6
72,106
141,48
115,8
124,54
81,42
88,16
79,105
125,115
140,34
122,130
26,121
109,29
1,97
55,82
9,41
63,46
108,20
127,79
3,45
141,101
99,64
97,40
40,115
35,105
36,41
40,134
13,82
131,52
96,139
26,31
77,110
59,136
118,149
86,54
136,19
84,28
69,125
141,39
125,2
27,132
55,120
27,23
8,69
102,48
141,34
96,46
147,110
127,22
39,107
53,141
85,96
59,142
53,79
37,145
61,88
146,62
104,127
61,133
58,147
1,119
19,79
114,32
78,147
143,82
101,106
110,118
137,57
110,83
140,25
53,27
29,108
57,133
135,118
78,132
109,82
44,79
50,115
8,50
90,61
45,62
111,10
38,77
133,17
110,148
4,96
44,26
6,65
62,78
146,48
142,117
31,57
103,110
90,125
63,68
96,125
6,48
98,50
86,52
90,40
32,145
138,130
110,38
149,104
68,80
23,52
147,37
86,146
39,130
26,56
145,140
94,82
133,60
62,145
109,12
43,59
31,74
51,118
51,21
42,71
19,133
16,101
124,60
143,8
61,15
28,114
126,71
97,115
53,62
35,75
77,46
71,98
47,96
16,77
45,117
17,143
62,43
53,72
40,80
102,73
116,95
70,125
120,56
92,43
56,15
72,133
130,71
69,32
52,57
118,74
97,144
115,11
52,30
111,68
11,48
50,29
29,113
20,125
18,24
30,42
99,121
93,115
132,22
99,75
146,137
88,31
82,87
126,88
119,1
117,2
91,38
80,35
134,30
120,22
136,34
21,121
39,122
54,76
149,127
91,30
12,102
64,28
149,114
86,78
80,141
79,18
135,112
101,143
20,2
62,33
49,32
90,136
33,92
71,78
38,84
20,122
129,13
37,35
136,71
114,105
58,6
103,86
24,7
38,140
14,45
32,81
12,35
27,91
101,140
88,10
30,142
102,35
123,44
139,63
50,20
88,32
55,139
69,1
100,110
10,9
72,105
60,34
52,68
130,131
109,143
79,4
20,143
63,99
124,29
149,123
54,149
15,133
136,90
17,66
23,43
66,32
143,31
14,60
17,107
99,54
142,93
143,33
58,106
6,90
98,14
95,60
61,119
51,70
126,113
21,124
139,77
81,5
139,43
118,148
9,90
21,135
1,111
33,122
117,12
71,43
98,147
95,108
119,68
110,33
27,3
143,81
66,101
115,85
86,37
105,76
91,9
64,131
42,50
67,101
25,133
18,57
71,7
67,41
74,108
85,144
4,6
127,148
96,18
39,116
42,67
129,36
132,1
15,74
92,37
26,59
1,109
9,139
123,92
18,133
14,138
38,135
65,1
38,100
31,101
30,66
108,134
137,71
141,36
132,53
90,20
6,39
84,53
92,95
46,96
122,142
117,29
40,52
48,95
120,64
107,33
96,130
13,123
4,120
86,107
86,110
61,33
144,86
141,127
138,99
2,78
89,16
55,123
146,130
72,112
138,128
66,61
85,58
133,142
95,105
89,36
69,137
109,78
73,102
92,143
69,38
88,133
134,25
56,149
74,139
90,15
54,64
134,146
20,32
26,81
95,45
114,26
124,105
96,143
29,107
64,24
35,41
127,74
139,37
42,5
127,76
84,138
133,107
37,79
122,29
83,55
141,145
3,78
148,65
46,51
82,144
140,37
5,122
19,47
98,28
112,142
148,106
139,71
121,129
23,5
102,24
23,79
122,55
67,24
103,128
1,2
100,52
105,52
73,131
56,141
76,45
102,101
9,142
128,74
148,67
65,94
13,29
122,24
128,115
119,95
10,24
146,87
46,11
125,112
2,82
85,64
27,59
128,56
30,91
49,93
144,72
42,137
141,142
80,62
10,68
8,25
40,139
49,106
50,33
133,67
25,113
68,64
22,129
52,126
17,1
89,14
20,111
57,126
4,95
62,56
101,16
24,89
100,123
63,48
13,127
17,33
2,46
146,59
72,14
68,129
60,52
29,71
29,75
141,82
131,45
121,145
72,138
118,18
58,21
80,36
107,120
5,7
36,149
18,2
54,75
38,103
64,125
6,47
117,127
80,104
95,121
31,42
136,123
137,123
67,32
68,49
13,20
33,124
91,71
121,38
90,85
125,76
59,29
50,102
117,45
10,64
43,131
144,99
123,101
118,7
76,128
69,55
82,138
118,8
10,139
137,39
53,135
44,8
104,71
33,47
46,129
44,146
103,32
129,113
131,44
1,108
103,142
58,144
112,105
140,80
7,36
125,148
125,63
77,120
120,69
101,91
86,49
117,56
114,56
119,134
55,74
35,36
94,129
126,8
10,101
120,61
132,33
77,25
120,59
53,48
57,91
79,139
60,135
55,141
29,45
52,76
49,131
61,69
50,13
69,126
55,68
105,40
114,110
99,87
7,142
34,74
53,41
147,90
48,118
100,103
80,57
