Left,Right
98,1468
34,1639
7,723
42,338
39,307
103,476
75,267
106,1263
28,661
26,538
23,271
5,1565
31,1083
62,1236
148,667
120,1131
23,519
72,1610
25,1038
47,746
73,946
35,1486
90,473
1,528
72,609
56,297
5,249
89,1630
92,868
12,204
99,1238
133,1411
9,463
41,912
31,350
15,765
101,1110
13,912
93,315
145,994
143,561
80,1348
3,375
99,1559
11,1414
88,1405
114,911
132,976
66,433
12,1636
44,962
133,1316
146,943
145,521
30,1118
83,1639
34,584
126,976
124,1439
129,588
56,1647
95,170
100,1550
62,844
67,456
89,1306
127,672
108,1345
39,680
120,807
31,586
72,1285
26,1168
102,1305
110,1441
114,640
24,794
121,1411
43,889
135,1197
30,1246
149,1362
116,235
140,1100
109,1264
28,795
42,206
142,1189
51,1449
86,331
120,1610
25,1196
33,1329
129,366
70,871
5,842
24,799
10,1209
93,1068
33,645
99,456
81,1326
130,332
117,412
28,783
82,1145
71,990
71,701
9,1211
53,1622
101,180
138,389
55,1113
135,714
68,1517
8,173
126,671
109,540
142,1186
149,163
50,1030
8,793
99,204
55,336
53,953
9,468
108,443
99,781
144,543
3,1119
76,766
80,354
58,806
88,579
114,516
138,1623
113,221
34,685
115,1542
35,669
30,391
92,1453
52,591
134,627
58,1310
140,1010
126,706
118,469
77,1110
46,1000
139,473
72,971
137,1597
52,732
2,170
41,842
84,688
74,870
11,869
7,1092
64,281
126,386
128,1116
146,1140
22,1325
33,1254
125,1639
123,705
10,1611
36,1278
29,418
91,311
131,1194
116,1211
78,306
66,482
137,1360
86,1628
19,1254
116,509
31,654
47,1512
24,1169
125,1262
95,296
110,749
79,302
42,811
66,665
31,1132
97,271
67,633
138,1249
124,780
64,1477
137,242
31,674
43,384
68,795
99,406
74,455
88,938
92,1537
31,629
12,1309
91,1486
46,645
74,1204
129,1302
62,1005
99,1168
93,774
76,230
49,758
19,1572
12,695
80,385
68,315
28,1387
67,1178
130,1332
67,691
21,1246
108,1186
145,906
57,1337
100,289
108,878
144,169
94,1530
60,188
110,468
58,650
25,237
140,1187
40,1144
5,319
89,491
76,785
128,1556
65,1251
86,656
43,1299
107,1137
76,157
117,442
30,419
134,446
108,896
3,1294
133,786
146,678
109,1648
41,780
13,168
30,762
145,573
9,919
110,416
127,459
87,796
57,602
27,1179
4,1484
147,1480
121,775
111,617
20,343
111,392
51,444
68,1091
101,1316
92,1647
134,1506
96,482
45,1368
40,883
94,537
149,1449
47,428
66,1322
108,1420
131,1149
118,1384
113,1546
51,576
31,515
95,1347
65,986
61,613
89,175
42,1490
57,1618
1,547
136,1277
129,701
102,417
111,1095
62,548
5,993
139,992
78,342
8,773
46,829
119,1514
46,162
39,780
15,810
20,749
36,207
2,603
145,447
60,1185
20,567
65,416
121,1401
61,876
47,808
85,1045
147,974
140,914
36,796
23,706
87,1559
1,588
58,225
141,1427
60,1307
132,549
136,1189
32,1019
149,1265
101,1393
120,1028
34,1647
143,548
94,1083
35,514
121,398
50,1391
115,1012
2,375
75,1630
87,520
39,1325
5,1429
103,587
100,1071
120,862
73,199
39,1498
148,190
92,507
139,446
139,1136
141,234
49,1155
147,260
71,1199
55,1479
87,403
80,240
48,1498
62,1534
94,1551
60,518
38,641
46,1572
7,944
34,1494
104,986
83,885
138,639
5,1517
135,1539
3,948
22,342
50,1071
1,1442
122,617
42,1125
101,708
16,481
44,1235
46,291
89,1501
49,175
129,1082
6,1443
32,252
104,1185
98,405
55,727
63,867
32,1184
44,1529
33,575
112,1609
20,1092
5,1094
128,359
41,1299
21,1267
110,1642
132,1017
74,1177
79,573
137,373
36,1596
92,536
75,586
146,263
111,648
73,690
58,474
111,1124
33,720
90,673
122,1576
49,847
41,158
49,986
47,506
140,268
79,556
149,1644
127,425
87,1130
18,1542
24,1441
89,646
8,711
110,808
115,1564
136,917
16,1505
16,359
19,1573
97,295
109,176
131,1188
72,505
134,297
81,1493
102,222
5,642
77,228
58,821
97,1370
70,961
142,596
72,636
43,580
84,261
82,482
73,980
54,1359
97,1281
55,1513
98,1213
71,1107
51,1068
132,1175
90,457
108,1600
145,580
88,210
