Left,Right
30,372
35,391
68,696
64,368
71,1114
73,468
122,1373
3,223
68,715
120,1407
117,1419
43,709
74,1527
133,1016
69,411
139,1478
39,549
100,668
146,325
116,1499
141,1126
130,1503
45,765
21,984
59,337
75,456
129,424
98,666
76,635
82,1053
64,260
30,893
103,494
83,1512
95,966
63,1626
41,1554
106,266
86,1394
77,840
20,991
5,1384
85,1069
102,1611
113,430
11,691
1,723
124,1376
44,1635
129,447
50,734
52,743
122,561
110,1495
98,1643
27,285
36,672
78,447
10,1563
135,377
35,830
35,1267
33,1614
102,336
23,469
75,1373
91,1006
104,509
125,1421
108,1485
100,1023
84,205
46,959
97,1145
104,865
44,788
57,889
134,1018
114,419
146,164
93,621
116,1422
94,1059
134,376
56,1178
80,1637
71,1368
132,862
46,1642
148,245
86,1026
127,1354
50,652
7,672
88,1301
6,962
68,1506
148,320
137,1634
142,1178
60,1102
132,255
126,275
126,1135
63,1177
85,504
10,356
79,1286
57,984
32,1433
120,838
53,1505
8,1089
146,563
28,1606
3,1369
39,1176
143,827
136,726
63,1092
67,769
27,1171
91,1063
64,1033
87,1629
109,1170
102,672
69,460
87,1401
9,1623
115,1459
102,588
117,591
89,911
64,1324
125,359
119,959
79,1483
134,291
141,603
135,1072
76,1019
16,1225
110,877
95,335
71,1569
121,230
89,914
105,987
63,1054
91,525
56,513
122,354
44,551
98,1305
19,996
1,776
64,1165
42,697
46,1532
43,1344
129,1002
24,1059
46,1565
130,1594
112,356
63,1585
88,680
109,669
26,163
123,673
20,1536
78,1537
124,953
147,319
77,338
105,1107
3,1509
123,227
92,1019
15,1592
131,177
52,1131
86,205
106,1464
48,374
110,393
124,976
91,447
68,867
14,1449
80,1539
126,996
70,558
126,613
14,934
126,1468
53,819
137,1336
47,1044
105,815
86,1079
83,651
122,930
71,1371
128,408
57,684
73,367
70,1480
51,1536
28,1378
75,1501
122,1160
113,1616
64,1533
59,869
49,1292
89,192
123,934
106,1341
52,654
86,1061
47,1102
141,787
143,561
84,418
133,784
117,977
54,1522
85,655
91,722
51,1283
144,273
117,479
22,1011
61,545
52,1115
133,1499
5,966
44,1579
131,715
13,1643
99,1306
56,1013
2,471
82,1584
124,257
35,903
55,836
50,437
20,198
135,1264
36,1061
9,1208
138,1201
56,382
67,564
141,480
128,511
72,387
115,1478
1,706
92,999
134,909
74,1157
117,419
146,518
85,423
32,1306
26,1456
108,1243
104,296
70,1342
79,201
101,1343
57,374
104,1329
100,1386
34,938
148,742
98,1629
67,629
60,309
129,1458
140,1253
6,257
30,898
68,876
110,836
132,1313
132,898
90,1374
39,1096
20,949
120,1466
68,1648
126,1312
136,1308
75,220
142,1488
3,1578
77,410
22,817
137,1169
12,449
81,1020
62,1456
101,308
33,1205
105,227
73,185
25,213
145,670
140,829
27,915
55,980
84,1317
96,783
26,1467
28,726
76,1048
106,1357
8,1059
47,1046
16,1009
124,1326
30,1349
118,874
117,1303
116,564
78,313
28,309
54,847
132,420
67,1610
73,986
31,266
20,1278
86,522
110,847
68,603
16,425
13,958
71,192
114,163
66,1385
115,418
99,1058
76,1342
17,1162
42,385
63,302
123,688
48,1605
81,1559
109,1628
115,186
34,585
22,739
95,195
21,441
116,255
41,1228
148,662
23,1571
43,1023
36,1581
52,1186
22,1052
94,1477
93,1306
43,1613
136,804
15,719
60,466
55,689
134,407
110,876
104,1435
86,262
60,1537
136,1246
55,380
91,940
26,920
37,944
21,857
55,1288
45,729
32,837
87,1211
97,992
97,1573
28,1600
14,1182
113,1360
126,566
27,911
58,1052
121,1019
53,1075
2,767
49,1151
140,992
144,1636
41,1091
63,1430
134,526
134,518
132,1616
1,387
71,579
73,329
113,1051
135,1181
47,1154
55,1606
145,793
149,454
14,897
80,749
14,581
121,215
46,490
83,1619
85,356
69,1548
93,843
46,407
141,1286
30,1489
43,1639
6,234
68,846
53,691
39,1434
89,954
32,1133
102,459
32,215
118,702
12,994
44,798
143,1458
26,887
70,1182
61,1052
94,534
93,1042
29,784
121,382
137,797
28,369
129,1408
108,900
42,851
67,645
106,1102
7,1499
65,566
80,331
29,1438
62,567
5,767
30,1288
120,1506
120,994
103,1033
148,1631
12,469
131,934
15,1545
41,1120
11,327
133,1610
13,692
60,247
138,959
53,501
54,244
4,1041
124,1230
142,1070
42,1483
114,588
95,308
126,839
93,1139
78,1320
12,1043
39,477
111,1358
80,1188
55,454
45,1093
30,224
59,771
102,831
82,750
130,561
127,257
145,322
1,292
18,727
60,792
124,1432
104,1217
41,577
18,337
103,1058
32,1239
55,189
76,1198
137,1505
30,1614
61,194
2,1094
60,1457
110,211
102,590
14,1207
135,1119
49,424
93,197
52,1433
24,952
2,324
32,855
101,399
61,291
131,1600
91,1312
108,547
77,237
69,161
109,837
2,1628
9,491
36,829
86,827
41,1130
131,1564
82,409
99,635
43,736
39,828
127,391
72,535
9,507
118,510
67,533
82,633
53,212
18,418
55,430
95,463
103,1157
70,1325
52,1483
51,950
46,1413
33,1374
30,246
2,478
133,1245
60,1164
116,233
39,858
75,508
37,753
2,1504
35,1572
111,227
132,1415
36,1488
106,268
17,221
87,1524
45,1284
141,1528
114,478
60,1059
139,359
15,1190
126,488
38,803
93,499
27,1126
30,1507
68,962
101,1500
79,301
63,936
93,677
86,1249
143,1190
111,1107
89,281
52,1334
49,524
52,989
110,1537
131,838
64,1139
3,1299
105,1367
138,1215
149,838
56,1648
81,642
147,1611
16,1032
70,1574
131,308
148,409
137,1335
106,1551
99,589
99,955
135,1103
135,152
37,1597
145,190
25,1133
80,1280
55,1120
123,533
23,685
136,579
47,577
7,546
119,1624
120,1547
97,1368
100,1114
108,1617
149,1225
135,1415
94,1263
29,283
104,1389
44,810
35,281
140,1625
36,283
25,1491
137,1114
144,672
38,758
99,1308
6,1403
59,782
86,446
89,1124
83,340
35,993
125,1463
102,511
53,1173
70,1633
119,880
39,926
26,1580
17,1432
4,640
62,734
111,977
19,1477
23,1153
138,880
139,1441
21,1128
124,272
65,866
112,747
98,563
50,737
6,1397
7,987
87,1539
51,1517
20,1073
54,414
15,910
81,941
29,430
22,1594
75,1160
57,1611
148,662
127,697
43,1251
116,610
66,1043
121,664
49,976
132,1086
86,717
22,1330
95,658
1,336
44,1380
51,1042
70,800
49,547
149,560
21,251
80,1056
118,1061
79,1249
116,205
74,894
95,1601
45,159
54,1419
65,1520
19,1384
34,205
62,357
103,950
83,171
103,164
14,1028
38,1558
143,1446
28,1227
114,990
102,575
134,1397
131,187
98,166
137,638
62,1563
101,1395
76,1135
124,1644
41,1630
140,687
69,514
145,788
145,1227
124,686
129,184
21,582
143,467
67,1462
56,651
101,1601
121,565
19,209
135,1421
30,544
47,995
48,686
10,602
31,987
141,1170
18,1104
95,566
53,1320
121,772
126,547
147,930
63,1389
146,533
74,1403
15,488
125,1011
15,203
114,215
67,387
68,1539
89,941
43,694
101,344
13,241
107,1398
70,393
14,1278
63,468
68,1019
99,595
81,1426
1,186
76,847
78,359
96,252
115,1215
114,531
124,1613
135,1397
135,269
59,938
126,1614
84,895
72,547
142,1549
134,1299
100,995
57,535
37,316
44,721
65,309
36,307
11,1194
142,857
122,1180
29,821
28,960
109,1454
105,1141
120,1634
19,771
134,723
108,334
91,841
48,513
21,1447
22,695
96,1011
131,1439
59,346
16,1420
82,671
132,1331
90,390
142,869
60,761
140,1109
3,1247
87,210
53,1365
61,1061
98,1291
147,1019
52,1078
131,454
83,1171
147,430
115,1527
37,762
43,605
107,982
125,1581
11,1073
137,285
40,1547
18,1559
123,1202
101,1626
7,1417
128,151
97,1261
142,682
29,277
112,1285
40,374
21,452
23,1271
146,951
106,376
127,359
106,1145
110,665
81,864
134,612
118,1405
93,863
27,447
10,731
30,393
111,388
11,239
36,790
49,1184
70,1603
123,1095
145,550
20,1411
93,693
14,441
46,759
78,1196
79,1327
26,1320
1,1604
76,1633
125,221
149,795
34,1090
91,1226
148,1570
11,870
96,1207
63,626
2,282
26,1258
9,767
36,670
52,205
57,1484
70,1413
110,775
90,645
7,265
42,609
54,1458
39,1536
131,1187
12,1101
57,373
131,1525
93,1330
51,1497
113,1024
52,1566
19,1635
22,238
51,507
114,1176
118,520
8,1196
113,598
61,407
88,757
82,980
99,1442
59,610
149,1357
88,1474
90,1190
103,606
106,1623
2,259
141,1264
110,1405
40,1379
14,976
59,1032
97,998
88,1331
75,913
79,924
16,796
89,1416
48,299
81,1608
34,1329
146,926
119,862
49,1548
41,359
3,1134
146,1189
63,325
71,422
112,233
56,317
7,1198
103,1577
34,1246
14,219
66,725
80,1598
103,916
103,1417
32,683
60,1328
18,1339
85,426
54,183
51,1237
39,252
78,575
5,285
79,1350
31,1162
147,1430
16,942
101,1453
1,1255
30,808
114,1441
17,1572
147,1585
36,891
89,818
71,255
114,1056
56,295
37,214
69,633
42,554
67,798
52,1021
50,1511
13,567
125,643
74,537
142,440
78,641
77,1563
13,544
113,1091
135,737
51,781
127,712
11,1262
67,157
9,785
80,1109
65,829
65,1628
27,944
145,459
58,1494
71,1409
40,568
62,1039
71,1565
61,939
11,794
131,1001
106,920
57,1568
21,1134
4,1062
95,1519
118,1155
28,1504
