Left,Right,Date
56,1181,12-11-2017
13,802,02-06-2015
55,235,30-08-2016
36,693,06-09-2015
99,456,11-02-2016
30,474,09-09-2017
79,809,27-03-2017
124,561,16-05-2017
78,396,24-07-2017
1,1339,08-08-2015
60,988,05-02-2016
109,176,05-08-2016
91,1121,17-11-2015
90,1159,23-08-2017
144,411,28-10-2017
92,1028,25-03-2016
52,715,12-05-2016
61,707,21-11-2015
44,1569,29-11-2016
145,432,06-05-2016
27,813,29-08-2017
44,1133,17-11-2015
138,343,06-12-2017
58,1348,10-07-2016
128,668,22-10-2016
45,1529,05-09-2015
62,1336,18-04-2017
47,951,14-08-2017
134,515,01-12-2017
122,1164,15-07-2015
86,1015,25-10-2017
35,356,09-11-2015
11,827,08-07-2017
2,487,21-12-2016
79,379,04-04-2017
128,1404,08-08-2016
81,273,19-04-2016
27,1573,19-05-2016
59,1138,28-06-2015
50,966,07-11-2015
81,1024,19-07-2016
55,788,02-10-2016
43,778,13-11-2015
14,1430,29-12-2015
145,470,11-03-2017
31,1149,24-05-2017
77,359,03-10-2017
76,553,10-11-2017
55,973,24-01-2016
138,1539,20-11-2017
125,1301,04-11-2017
94,1188,20-02-2017
124,681,15-02-2016
111,1145,10-03-2016
101,165,23-02-2017
131,1032,26-09-2016
84,330,08-08-2016
107,1105,05-02-2017
65,1559,24-06-2015
109,1318,08-10-2015
76,1309,20-08-2017
14,1029,02-06-2017
84,284,02-07-2017
98,740,14-08-2016
88,1371,11-01-2017
109,877,19-05-2017
131,856,19-01-2016
101,1583,15-01-2017
83,618,29-11-2016
145,897,07-10-2015
118,374,03-02-2017
111,1389,28-04-2016
38,314,08-07-2015
107,191,24-12-2017
133,187,10-06-2016
58,902,06-06-2016
38,1472,11-06-2017
67,602,31-08-2017
121,1548,11-02-2017
136,381,31-05-2017
58,1417,28-10-2015
86,580,16-01-2017
89,1084,11-05-2015
100,1502,25-01-2016
15,1256,08-12-2015
112,269,23-10-2017
86,697,13-01-2017
57,1507,19-12-2015
44,455,22-11-2016
108,846,29-08-2016
87,500,31-07-2015
111,1279,24-09-2015
149,1045,22-01-2016
48,468,17-11-2017
8,925,21-02-2017
131,793,12-05-2017
58,391,08-05-2015
32,1206,09-09-2016
149,1007,17-03-2016
68,246,22-05-2017
35,608,21-07-2017
51,1512,12-08-2017
80,1074,23-07-2016
30,1386,22-08-2015
65,1425,22-08-2016
46,545,21-05-2015
30,1433,08-09-2016
124,1383,02-07-2016
58,1251,15-05-2015
20,537,01-05-2015
23,1316,15-11-2015
87,1566,19-12-2015
104,1008,02-10-2017
95,1366,06-01-2016
24,950,21-04-2017
101,1469,15-10-2016
63,851,03-03-2016
116,1613,01-11-2016
148,490,04-08-2015
106,213,13-01-2017
74,985,20-09-2016
107,248,09-03-2017
138,669,10-03-2017
51,958,19-03-2016
37,959,26-01-2016
55,1631,12-07-2015
85,507,07-07-2015
96,375,03-09-2017
141,726,09-05-2015
117,160,17-06-2015
114,1078,08-10-2015
135,529,01-09-2016
40,513,24-09-2016
58,1538,11-07-2016
60,1378,15-06-2015
85,706,29-04-2016
104,1276,24-10-2016
31,1199,16-11-2017
113,1114,22-12-2016
27,1169,08-06-2016
56,238,11-07-2016
18,825,24-11-2016
64,895,03-03-2017
43,1598,09-03-2017
108,565,07-11-2016
128,1142,05-05-2015
63,512,10-05-2015
46,1154,24-11-2015
136,1284,12-07-2015
63,244,24-11-2017
120,161,09-08-2015
19,819,06-09-2017
104,204,10-08-2017
106,212,28-04-2016
146,1259,17-03-2017
95,1087,01-07-2017
104,228,28-08-2016
132,1517,11-10-2016
88,1496,11-03-2016
14,281,19-02-2017
44,232,17-07-2017
47,1576,30-10-2015
98,1464,20-07-2017
99,1509,29-09-2017
64,524,17-12-2016
104,628,29-06-2017
76,974,06-04-2017
66,203,26-11-2016
95,722,26-12-2017
41,403,13-11-2017
110,700,24-03-2017
28,365,20-12-2015
76,457,18-11-2017
3,711,08-11-2016
100,861,25-03-2017
15,1143,18-02-2017
126,915,25-08-2017
91,589,15-08-2017
25,1590,10-10-2015
134,1088,28-04-2017
2,458,02-03-2017
19,424,08-09-2015
59,1356,14-08-2016
15,479,18-10-2015
47,211,03-09-2016
123,257,19-11-2016
20,1477,03-06-2015
122,272,11-05-2015
