Left,Right
284,83
1060,38
1496,79
286,148
328,44
1014,2
496,148
1089,144
352,128
600,77
286,110
501,46
1421,142
1208,28
600,145
1404,105
1497,20
359,18
1300,22
288,102
1541,108
770,108
1512,134
264,90
362,111
1633,80
1465,31
595,52
1194,39
1118,115
1346,56
426,79
1068,1
1400,12
762,31
1415,39
1409,115
308,44
798,86
608,42
1292,98
623,53
1041,48
930,114
157,48
1262,114
422,75
704,40
236,79
811,49
1059,96
305,54
563,108
1391,144
1187,110
746,113
976,5
1041,117
1366,85
1165,48
490,22
1211,51
962,81
1488,84
754,142
1149,111
1606,70
593,138
1030,115
1411,87
410,29
600,133
330,41
630,91
1634,94
256,31
1349,3
1012,145
1357,9
482,81
1438,58
920,74
360,93
1244,145
495,49
1400,31
1527,14
251,79
264,62
716,44
906,36
727,10
1339,70
282,82
428,112
830,58
1136,95
1272,33
1539,18
1373,132
1261,114
727,81
951,124
274,40
850,92
1062,25
1051,132
727,103
1578,85
1640,25
880,107
975,101
661,84
1182,20
1251,44
1010,105
363,38
1351,94
1464,12
1161,42
545,68
320,69
269,141
484,70
1299,64
1329,27
1431,67
193,38
1373,32
1355,130
713,144
1309,71
1608,93
287,12
711,26
967,130
539,57
422,128
481,89
463,125
801,88
542,76
362,132
1205,36
606,113
280,107
619,39
619,141
994,81
233,111
212,64
1428,66
1033,76
614,109
1176,50
881,24
678,145
1231,67
641,98
1321,98
437,135
829,146
344,87
1599,24
983,92
1467,127
694,143
771,87
449,39
245,7
764,124
775,25
566,123
259,67
1639,101
635,50
1410,69
696,132
717,73
1404,88
375,124
572,49
1519,109
605,32
1050,95
1423,55
1431,116
1375,147
867,64
864,89
564,53
1410,55
478,12
242,21
996,96
538,23
668,21
917,16
176,127
472,56
525,127
426,77
162,138
1328,89
1327,47
1334,97
733,134
675,143
291,99
690,52
627,136
1163,128
1211,49
165,100
608,115
226,49
717,41
254,38
1448,19
953,134
1236,127
686,147
1178,80
525,138
1307,32
364,92
808,43
603,8
1329,57
855,134
1354,17
227,38
1457,89
366,97
1476,1
319,111
969,10
558,114
950,123
1438,98
1441,25
1276,120
833,104
640,66
258,119
331,41
946,24
658,66
497,14
1280,126
749,114
1442,98
175,65
1390,111
1615,100
565,85
927,36
157,19
1420,64
551,20
1376,113
1340,9
1226,20
1178,144
1481,78
1579,57
909,71
785,38
1107,114
384,55
448,110
272,144
1193,99
739,145
995,41
890,102
208,20
1329,129
184,56
851,43
1294,120
165,86
1060,84
339,63
1366,33
1536,4
840,126
486,79
773,120
202,119
808,113
1509,59
766,91
767,94
1571,78
393,80
817,64
369,13
210,96
278,107
1278,41
1160,131
408,140
766,39
1081,66
524,11
1162,84
932,119
255,34
758,14
544,67
1524,61
412,1
542,100
417,112
969,32
1037,96
374,130
788,59
921,88
1417,107
876,96
1550,142
1225,24
1083,5
1531,104
889,21
565,62
591,77
1466,14
1596,149
1454,91
1418,103
365,131
1014,37
374,144
871,60
543,31
1498,123
1537,134
984,73
1592,10
505,41
1215,75
512,5
1380,46
720,30
1381,13
1570,123
456,10
202,55
742,127
337,149
1278,148
854,54
763,18
784,120
1539,104
1254,45
1206,147
285,15
