Left,Right
105,129
113,25
102,126
40,41
139,109
88,59
71,92
66,4
12,148
59,96
7,2
27,6
20,145
81,110
86,22
32,71
101,44
95,84
141,58
89,95
41,6
138,61
137,118
36,3
113,53
50,149
104,143
72,87
13,17
148,126
32,56
34,120
24,73
43,70
46,113
84,124
56,39
84,88
8,115
17,89
25,44
128,80
23,148
146,52
109,58
52,10
41,30
101,148
83,69
70,148
76,42
1,132
129,64
10,16
94,121
110,103
147,138
55,81
47,26
4,64
8,53
34,59
6,5
70,90
66,34
84,135
29,45
31,56
37,60
145,84
102,127
127,54
101,109
43,109
17,113
25,42
113,34
41,102
83,18
98,23
127,137
130,109
81,126
56,116
58,75
118,52
140,21
15,140
67,21
30,27
140,11
24,88
104,34
137,41
44,103
90,110
129,79
125,112
141,7
138,48
119,19
119,28
9,107
127,51
48,35
60,4
75,146
88,67
132,108
107,122
70,84
54,43
120,30
67,69
4,56
20,67
89,62
111,108
12,131
15,24
13,51
128,137
121,53
87,130
69,57
83,30
45,14
86,20
90,95
108,35
52,98
132,115
136,88
132,5
61,80
39,139
141,145
35,16
107,20
57,10
85,77
95,98
66,57
65,3
45,88
20,22
131,89
14,105
99,109
115,10
52,139
101,140
16,4
39,146
27,63
69,38
70,15
11,98
147,68
126,127
22,7
138,124
22,106
133,129
14,78
133,52
52,104
81,122
22,120
75,58
80,88
84,131
85,56
92,66
8,68
66,32
127,1
107,66
103,122
53,147
135,52
80,90
5,12
37,104
106,28
29,39
117,60
53,55
120,34
137,146
120,95
144,140
23,17
59,102
140,128
75,22
19,135
40,124
104,110
68,30
90,73
27,76
68,48
128,5
89,52
104,121
42,110
74,112
117,6
64,29
48,86
96,33
88,71
125,15
85,96
1,16
128,105
108,141
15,32
49,57
138,81
90,137
55,98
1,117
104,85
123,111
148,110
101,122
71,99
46,139
59,15
115,66
70,35
28,84
43,11
106,137
147,47
101,23
140,27
12,10
97,29
140,6
59,89
137,103
68,67
114,45
123,79
12,94
77,93
63,13
49,124
132,100
98,123
50,98
92,78
94,41
20,35
34,103
142,83
69,87
103,97
47,130
133,43
116,21
110,49
127,107
125,121
68,57
67,148
85,99
143,135
63,86
126,69
74,5
85,116
4,113
137,128
69,46
112,74
141,20
91,136
129,127
84,113
141,40
42,40
58,99
16,98
132,148
136,56
115,127
88,93
138,41
9,87
34,122
40,98
6,66
45,120
9,66
59,19
35,69
122,140
139,148
13,127
27,119
140,143
101,127
55,6
72,89
98,5
143,128
121,37
112,140
9,18
89,37
113,23
128,95
43,96
147,11
61,73
52,117
92,113
26,65
7,28
91,62
122,14
34,53
70,75
140,1
124,39
143,31
124,5
68,58
45,1
33,131
76,122
37,66
108,56
49,6
34,54
112,141
144,46
98,118
105,65
101,55
113,140
75,128
73,55
69,85
145,100
86,128
144,137
68,141
86,117
142,80
29,35
87,11
21,65
5,42
81,62
26,103
122,139
136,84
84,21
118,11
43,51
142,93
126,29
125,96
142,15
125,10
56,89
76,105
81,36
129,31
107,145
31,61
54,109
84,20
114,25
60,111
58,71
135,36
55,101
145,14
136,21
123,94
26,7
124,117
82,50
35,14
30,80
26,54
39,108
60,8
83,98
51,147
57,75
100,134
80,86
91,11
67,124
91,111
76,51
60,147
148,141
115,130
52,122
16,102
80,89
2,18
108,97
33,99
78,133
61,107
146,36
85,35
24,131
129,2
54,128
15,45
22,62
141,107
96,68
45,48
141,83
45,18
25,17
41,122
91,6
73,122
129,114
67,142
101,51
18,45
145,70
25,122
145,67
127,129
31,136
109,131
145,142
88,15
52,4
83,16
142,63
86,8
52,20
94,123
118,29
73,28
52,112
73,41
69,91
133,30
67,49
25,50
26,56
149,104
31,97
92,39
100,119
137,107
75,89
97,52
71,145
143,30
4,47
83,97
80,109
16,48
87,138
88,30
136,118
80,35
106,55
77,126
137,19
7,16
56,114
6,31
49,41
134,128
117,31
73,66
73,38
80,42
49,74
91,78
97,146
93,66
16,30
97,126
45,100
117,102
88,148
42,136
14,144
137,116
78,149
78,88
79,35
29,42
82,19
98,107
62,98
126,145
127,34
4,120
3,39
60,107
15,39
53,58
95,80
48,4
112,6
70,41
17,14
143,86
27,90
136,19
12,64
127,63
18,79
49,76
65,137
141,24
38,63
50,139
27,92
70,134
112,54
51,24
9,64
91,35
124,18
124,46
116,67
1,10
125,141
18,72
108,1
78,101
62,26
57,103
23,113
117,78
56,15
76,45
28,43
25,47
40,83
25,92
137,134
73,9
1,119
93,140
108,69
130,26
63,85
114,19
113,6
37,135
116,35
140,60
110,101
125,144
61,125
85,53
19,116
60,69
91,130
142,29
108,114
56,57
38,98
41,34
33,149
107,51
112,72
142,74
130,63
73,82
54,1
29,21
48,111
123,55
9,23
72,19
88,99
49,75
109,66
79,13
48,49
41,37
77,106
28,5
98,67
50,8
137,114
133,111
4,66
25,89
100,3
92,118
71,85
111,50
117,16
114,56
102,130
62,85
39,47
70,77
36,44
7,114
5,96
60,139
105,24
111,35
63,115
130,12
121,1
83,126
102,112
46,38
25,41
61,37
88,129
51,20
57,14
101,20
90,89
100,76
2,148
94,108
109,146
59,49
143,80
88,79
42,139
71,48
50,18
2,44
15,94
90,144
117,132
71,45
145,88
64,132
1,6
126,53
110,62
88,149
82,79
123,32
20,107
2,19
136,138
41,94
21,94
146,70
137,92
53,64
87,35
135,29
135,82
59,67
74,93
67,126
98,28
121,43
140,59
99,76
71,102
12,127
85,73
31,148
115,136
139,112
65,118
21,27
61,120
26,21
35,142
111,49
135,132
78,57
87,110
118,119
126,68
58,3
136,30
108,94
88,53
106,139
53,21
146,42
35,123
113,19
125,61
98,11
29,148
50,68
103,73
65,20
126,92
134,10
104,101
48,30
34,84
130,88
29,139
106,80
105,48
97,55
119,127
83,53
36,129
52,49
89,57
49,139
60,48
121,3
123,10
111,130
22,30
138,78
52,37
67,53
21,12
86,65
103,39
52,2
74,90
120,85
110,143
74,63
132,82
10,141
146,21
69,20
95,87
18,87
3,122
11,37
107,40
107,141
39,80
145,110
48,19
135,54
69,5
110,78
47,58
126,11
62,110
41,105
54,76
18,40
89,135
115,32
106,133
90,83
49,95
15,122
80,74
1,127
98,57
124,96
44,13
111,23
57,121
40,125
23,18
146,118
26,136
19,2
133,38
18,6
80,131
63,90
120,14
41,33
20,129
133,37
145,55
56,96
137,120
71,58
36,39
88,124
35,28
114,73
84,73
14,137
35,49
5,4
58,51
26,61
87,118
58,64
135,45
142,90
127,134
123,2
88,147
146,111
90,139
131,98
39,28
33,95
66,94
102,83
75,137
59,13
25,132
3,102
144,2
1,96
91,69
114,141
9,65
112,89
21,23
43,25
82,23
32,40
93,37
59,14
28,12
87,75
95,90
69,36
11,35
100,35
35,30
9,15
113,54
130,29
33,117
27,17
148,102
80,16
125,134
86,47
109,6
116,97
48,84
17,129
12,78
24,89
46,42
6,124
100,27
14,99
119,1
96,21
68,28
15,142
41,126
38,30
107,135
96,54
127,122
143,47
60,138
43,147
53,102
37,19
56,20
25,126
117,97
68,112
124,140
71,43
95,104
45,148
21,113
35,128
108,117
120,73
68,65
92,129
115,26
141,65
41,46
122,2
11,66
70,128
108,98
2,120
89,134
79,70
108,76
149,83
116,3
92,137
102,21
35,121
145,141
96,88
33,17
27,19
65,19
10,136
114,76
43,97
52,25
82,32
68,3
97,41
60,130
100,138
108,99
82,103
32,117
39,57
42,93
57,30
8,62
47,35
44,59
76,32
80,105
46,87
36,6
27,102
44,140
72,65
79,133
83,8
37,122
137,44
27,14
42,94
60,34
68,89
147,85
113,35
114,9
145,149
34,6
145,20
101,115
86,76
40,85
54,120
103,15
20,121
3,105
140,9
15,6
7,47
64,118
90,46
143,8
23,106
6,63
104,76
60,55
83,143
117,105
76,85
99,16
90,54
80,39
26,95
9,16
92,40
119,125
40,110
127,25
142,133
92,122
15,12
130,9
46,52
67,14
113,110
143,54
118,69
41,78
129,72
133,125
120,7
92,141
130,102
83,129
89,147
148,111
26,20
45,142
18,52
134,129
60,43
91,8
66,144
12,110
45,95
58,23
147,22
27,38
36,12
110,67
78,140
72,128
62,103
36,111
20,95
27,26
130,4
107,9
131,52
68,72
138,15
100,52
87,91
90,39
105,63
139,5
34,116
10,105
63,2
21,44
56,134
116,84
112,97
44,78
48,24
135,88
86,127
1,45
113,9
53,85
10,82
105,118
2,112
94,10
108,73
74,23
32,11
88,44
104,113
71,38
69,68
128,149
26,122
115,119
131,75
74,120
144,67
40,15
126,93
88,33
19,65
50,27
68,113
74,51
67,32
149,57
29,112
124,103
22,8
17,18
55,105
87,117
102,85
62,80
59,95
88,27
14,34
10,95
18,37
112,118
25,54
118,113
142,14
86,122
130,57
121,82
113,29
98,142
83,94
119,47
54,56
19,139
107,3
80,142
99,44
27,149
99,83
116,15
103,58
144,106
114,11
120,132
5,32
88,95
81,139
79,129
143,59
72,12
147,82
1,65
5,10
77,49
122,9
65,74
51,7
45,71
35,3
128,102
139,122
87,15
42,75
138,22
99,127
88,46
64,6
84,44
36,50
9,141
12,149
118,86
121,38
39,40
29,130
45,122
99,131
140,110
73,4
125,132
138,118
22,67
103,80
51,99
79,64
125,72
83,101
137,50
27,98
134,21
15,63
126,32
149,148
92,109
120,15
107,95
81,20
31,106
119,37
2,13
87,81
128,91
24,119
57,69
46,31
52,32
70,106
58,104
139,13
81,22
69,113
19,30
57,5
117,82
28,92
16,136
82,119
67,31
20,44
10,147
124,144
143,96
68,17
132,68
44,118
47,37
87,58
109,137
45,102
44,21
23,66
7,18
50,120
38,88
133,139
21,123
124,141
40,57
18,15
120,128
93,98
62,1
6,54
137,108
77,60
75,41
63,136
21,120
23,72
93,105
34,137
100,54
15,83
47,129
49,146
136,109
45,42
71,2
66,5
69,92
84,62
120,52
128,46
133,36
64,1
3,110
64,21
105,108
35,65
136,66
88,68
8,49
49,7
80,51
116,80
4,68
55,133
122,20
104,24
76,127
96,59
130,41
60,51
43,114
137,46
31,105
75,37
58,45
10,34
81,55
36,11
65,75
130,58
74,107
25,3
87,29
13,101
88,8
104,43
140,75
97,37
65,66
14,29
47,145
58,55
47,76
96,15
12,60
146,121
139,23
102,17
116,33
75,127
134,43
33,74
38,55
22,61
18,24
85,103
96,109
57,63
64,88
40,147
148,90
48,100
37,78
142,45
2,67
99,55
79,11
78,42
138,86
77,17
58,40
33,52
121,91
90,66
53,20
23,42
84,78
65,28
17,87
8,45
86,30
105,31
137,104
105,50
51,10
4,43
32,84
137,138
53,57
47,4
82,47
86,84
33,96
62,23
96,147
94,65
27,86
31,77
96,124
46,21
85,4
60,24
132,91
68,149
30,144
74,95
60,36
30,91
23,26
70,93
137,132
14,12
14,134
75,88
83,66
43,78
77,85
96,17
109,71
36,85
108,12
45,138
124,132
4,42
124,35
43,7
64,120
18,66
120,108
64,10
100,101
73,69
56,66
59,134
7,10
146,49
95,48
56,2
139,138
91,58
10,91
66,133
127,133
68,1
16,10
77,83
76,27
70,31
27,121
77,11
125,34
35,41
23,13
52,119
30,85
90,25
33,147
60,129
50,117
29,4
118,14
128,66
62,131
75,62
105,22
17,2
18,5
82,46
101,97
139,129
105,21
33,123
6,86
45,87
44,62
72,95
31,1
55,31
114,142
111,144
55,91
78,97
40,17
5,97
105,10
105,104
21,148
37,36
67,88
63,55
120,41
113,141
76,79
56,16
73,5
89,40
126,40
101,10
66,14
88,144
33,133
62,25
57,98
116,54
26,135
141,77
27,118
93,144
94,133
12,98
71,46
16,68
24,47
19,27
106,118
136,127
148,78
134,18
127,13
90,115
109,55
73,98
25,38
79,42
66,121
9,10
44,58
128,47
88,108
96,146
108,130
124,65
95,121
16,112
50,60
38,136
71,55
95,74
18,111
7,41
100,144
126,108
125,148
70,42
25,19
53,111
3,25
134,83
121,63
20,139
6,83
39,149
116,130
103,38
105,74
61,136
44,9
121,64
16,6
29,69
54,55
30,61
