Left,Right
137,566
21,683
99,360
90,524
75,784
120,1090
79,1310
27,285
71,868
131,1277
83,1119
125,944
123,1409
122,923
44,1341
114,1512
127,1332
31,243
98,663
2,975
112,907
148,835
49,604
78,766
53,1422
85,1350
122,405
62,1028
37,1027
104,428
2,1272
25,849
28,1604
79,194
3,1095
87,661
121,1455
24,190
64,273
114,1242
77,829
53,359
86,898
62,435
20,1183
88,294
11,440
94,1262
3,1395
8,585
35,924
139,243
106,1449
110,878
16,1264
63,361
54,350
141,1035
1,1223
77,406
86,1454
88,809
58,789
143,627
118,192
127,1583
107,988
96,285
128,647
45,614
107,607
28,900
30,413
79,1057
109,1398
42,1345
132,1389
63,268
71,703
145,1566
26,1369
134,1557
76,636
59,355
103,280
38,583
29,1626
67,443
21,872
133,677
42,827
19,1463
40,588
30,274
130,535
82,569
63,1573
88,845
45,1484
60,424
11,228
19,204
129,484
96,1423
137,432
87,744
89,1627
118,329
137,1523
6,848
137,1030
94,990
108,1458
147,555
54,934
138,672
146,245
125,1146
28,627
67,460
135,709
47,1333
146,1153
18,636
75,605
133,1193
42,316
61,1109
109,393
96,907
77,1207
124,507
84,584
83,1457
9,1495
120,862
83,334
90,490
131,768
111,329
101,222
107,1426
53,174
68,525
39,704
58,231
78,1401
135,1056
16,977
135,214
103,1586
24,519
127,1410
60,1629
34,254
129,1611
18,1322
27,1112
51,457
99,639
130,588
2,1419
93,1020
39,291
54,539
20,541
136,1579
115,450
53,896
36,322
67,1280
58,417
62,269
34,404
43,781
30,516
46,876
10,1544
126,1161
60,639
24,604
88,234
45,170
24,1510
62,597
82,162
101,1585
30,1236
131,1032
111,1490
23,914
118,947
10,615
97,301
140,1416
66,1072
11,454
68,1312
94,1574
20,1065
80,1152
34,1192
122,684
132,300
59,1371
54,1071
19,1046
109,1310
22,1340
25,1605
29,1570
72,1641
6,151
136,1521
146,1575
108,578
51,800
7,321
95,955
39,1557
113,825
4,991
79,1291
86,1103
39,443
59,387
90,1513
10,471
92,1136
2,243
93,301
52,632
58,1309
72,896
45,1378
45,428
112,301
97,811
91,418
128,1453
40,762
120,809
142,1240
124,977
3,297
91,227
68,1527
