Left,Right
43,1181
119,608
6,280
89,435
97,971
47,1286
48,694
43,572
123,1183
136,1253
121,293
113,1033
87,733
48,1018
62,1347
96,1174
78,455
95,1646
81,475
56,1382
130,346
34,337
149,499
57,1482
123,1143
110,506
38,462
17,1526
111,1444
139,1514
69,1028
131,767
23,889
63,481
6,804
88,1457
104,1030
59,1382
104,157
14,742
26,830
14,1388
53,271
5,1412
123,998
17,250
27,755
2,1593
132,1126
49,366
36,160
117,1426
36,1229
140,1593
84,704
5,404
41,589
50,845
74,781
28,528
14,619
64,854
92,1375
74,1152
78,640
129,429
22,264
46,992
64,862
70,1476
114,372
28,1394
78,671
37,922
71,352
28,821
63,1411
37,1427
109,440
45,167
5,1417
96,1466
63,1378
15,1286
47,1192
19,371
108,1242
15,1263
149,1331
126,583
88,724
74,1278
98,712
14,1584
87,1199
1,336
12,1633
149,299
62,1540
50,443
6,1020
33,587
135,652
8,963
73,636
64,1559
64,1407
141,573
90,277
18,1097
50,973
119,669
114,1389
38,1048
57,1021
56,503
113,195
120,1035
123,1548
71,788
60,1206
36,680
83,1341
97,1136
78,770
4,994
113,1309
1,653
87,1173
115,870
96,254
12,1290
43,909
40,380
101,1179
146,448
132,683
7,1146
84,660
15,967
113,1344
16,426
44,432
93,1631
34,587
80,1628
40,1639
62,981
46,538
1,424
2,465
41,728
108,409
19,957
22,383
146,1508
73,683
118,1324
64,1038
87,1054
17,1085
99,1158
3,993
35,414
60,303
125,421
9,432
52,1516
132,1331
67,512
67,641
99,1553
55,386
145,1195
128,1469
97,800
119,956
68,1257
138,999
45,517
11,971
123,1351
67,453
54,1183
11,761
87,693
120,696
78,1405
147,976
62,303
20,504
23,1121
127,565
91,942
56,187
96,1171
121,511
35,963
51,1430
90,1197
81,711
65,153
80,1203
101,407
88,1457
11,995
9,843
103,987
39,385
53,1617
57,705
65,1269
88,1610
43,944
57,1637
145,1330
34,1251
95,909
9,958
29,863
136,1298
60,1379
91,502
59,1318
73,739
141,932
11,1115
77,1020
16,583
85,1192
88,628
8,309
34,815
93,474
118,482
50,713
2,1194
78,1243
75,1020
82,387
132,1340
68,1318
48,728
137,187
86,1029
104,1415
139,1575
103,264
83,728
87,785
102,947
104,891
67,655
2,343
82,390
134,849
10,488
104,1310
145,407
102,1432
5,387
6,1497
3,553
24,423
65,1034
70,302
9,733
102,632
103,942
135,919
29,640
24,1407
141,1076
60,869
125,387
135,421
75,1618
34,1298
134,1230
82,1060
119,984
141,563
99,1152
125,1327
104,1637
58,1171
42,344
147,577
24,256
37,1048
148,1390
121,476
34,599
58,1007
115,616
48,1291
108,1088
109,742
108,1231
121,268
145,906
1,1254
140,931
53,444
56,324
17,1281
12,847
81,424
27,327
99,174
8,1114
72,1295
65,162
123,947
42,679
147,1161
85,402
13,277
72,540
146,319
149,607
95,1032
67,591
108,1355
84,933
49,495
30,1109
8,1286
141,564
5,403
100,1486
90,326
27,650
135,195
25,829
34,534
135,423
140,347
136,1513
48,821
81,1114
83,582
70,1403
3,1214
6,845
116,1079
40,1334
94,1057
4,310
129,693
71,774
94,785
14,320
42,1371
77,581
39,738
78,553
114,1319
103,610
119,1458
144,1271
51,1129
90,185
35,1548
18,751
146,1188
37,258
58,352
72,435
80,1468
59,626
10,871
110,951
137,352
42,757
106,1259
117,1609
73,1249
52,1427
33,1357
133,864
133,1231
29,1367
127,163
106,1122
25,598
32,1246
50,516
52,355
20,446
15,590
45,1514
55,733
128,1384
